Port Name,State,Port Code,Border,Date,Measure,Value
San Ysidro,California,2504,US-Mexico Border,Oct 2020,Buses,3327
San Ysidro,California,2504,US-Mexico Border,Oct 2020,Bus Passengers,8257
San Ysidro,California,2504,US-Mexico Border,Oct 2020,Pedestrians,369530
San Ysidro,California,2504,US-Mexico Border,Oct 2020,Personal Vehicle Passengers,1588056
San Ysidro,California,2504,US-Mexico Border,Oct 2020,Personal Vehicles,1046461
San Ysidro,California,2504,US-Mexico Border,Sep 2020,Buses,3114
San Ysidro,California,2504,US-Mexico Border,Sep 2020,Bus Passengers,8177
San Ysidro,California,2504,US-Mexico Border,Sep 2020,Pedestrians,340532
San Ysidro,California,2504,US-Mexico Border,Sep 2020,Personal Vehicles,927108
San Ysidro,California,2504,US-Mexico Border,Sep 2020,Personal Vehicle Passengers,1389968
San Ysidro,California,2504,US-Mexico Border,Aug 2020,Buses,3175
San Ysidro,California,2504,US-Mexico Border,Aug 2020,Bus Passengers,9489
San Ysidro,California,2504,US-Mexico Border,Aug 2020,Pedestrians,350840
San Ysidro,California,2504,US-Mexico Border,Aug 2020,Personal Vehicles,902291
San Ysidro,California,2504,US-Mexico Border,Aug 2020,Personal Vehicle Passengers,1375385
San Ysidro,California,2504,US-Mexico Border,Jul 2020,Pedestrians,338323
San Ysidro,California,2504,US-Mexico Border,Jul 2020,Personal Vehicle Passengers,1355015
San Ysidro,California,2504,US-Mexico Border,Jul 2020,Personal Vehicles,906757
San Ysidro,California,2504,US-Mexico Border,Jun 2020,Pedestrians,341410
San Ysidro,California,2504,US-Mexico Border,Jun 2020,Personal Vehicle Passengers,1300390
San Ysidro,California,2504,US-Mexico Border,Jun 2020,Personal Vehicles,878800
San Ysidro,California,2504,US-Mexico Border,May 2020,Bus Passengers,3065
San Ysidro,California,2504,US-Mexico Border,May 2020,Buses,1729
San Ysidro,California,2504,US-Mexico Border,May 2020,Pedestrians,295421
